filename,name,year,text,match_string,page,start,end,class,
Antofagasta_Annual_Report_2019.pdf,Antofagasta,2019,8 EMPLOYEES A) Average monthly number of employees,Average monthly number of employees,173,4,9,1,79
Antofagasta_Annual_Report_2019.pdf,Antofagasta,2019,(i) The average number of employees for the year includes all the employees of subsidiaries. The average number of employees does not include contractors who are not directly employed by the Group.,average number of employees,173,4,8,0,
Antofagasta_Annual_Report_2019.pdf,Antofagasta,2019,(ii) The average number of employees does not include employees from associates and joint ventures.,average number of employees,173,4,8,0,
Antofagasta_Annual_Report_2019.pdf,Antofagasta,2019,(iii) The average number of employees includes Non-Executive Directors.,average number of employees,173,4,8,0,
AstraZeneca_Annual_Report_2019.pdf,AstraZeneca,2019,"R&D resources We have approximately 9,200 employees in our R&D organisation, working in various sites around the world. We currently have three strategic R&D centres: Cambridge, UK; Gaithersburg, MD, US; and Gothenburg, Sweden. Other R&D centres are located in the UK (Alderley Park and Macclesfeld), the US (Waltham, MA and South San Franscico, CA), Japan (Osaka) and China (Shanghai). We also have a site in Poland (Warsaw) that focuses on late-stage development.","have approximately 9,200 employees",31,3,7,1,
AstraZeneca_Annual_Report_2019.pdf,AstraZeneca,2019,"Cambridge Cambridge, UK is a world-leading academic and life sciences hub. Having relocated our global corporate headquarters to Cambridge in 2016, we continue to progress the build of our new strategic R&D centre on the Cambridge Biomedical Campus (CBC) and now have 2,800 employees located in and around the city. We are already seeing the impact of signifcant scientifc and strategic collaborations within the Cambridge cluster as a result of the relationships forged.","have 2,800 employees",31,48,51,1,
AstraZeneca_Annual_Report_2019.pdf,AstraZeneca,2019,"The comparison with UK employees is specifed by the Regulations. This group represents approximately 10% of our total employee population. The Regulations provide fexibility to adopt one of three methods of calculation; we have chosen Option A which is a calculation based on all UK employees on a full-time equivalent basis. The ratios are based on total pay which includes base salary, benefts, bonus and long-term incentives (LTI). The CEO pay is as shown in the single total fgure of remuneration table, on page 132. For UK employees, quartile data has been determined as at 31 December 2019, with calculations based on actual pay data for January to November 2019. Estimates have been used for December 2019 pay, annual bonus outcomes and LTI dividend equivalent payments, based on forecast December 2019 pay, the 2019 bonus budget and anticipated dividend equivalent payments on LTI awards, respectively.",total employee,148,19,21,0,
AstraZeneca_Annual_Report_2019.pdf,AstraZeneca,2019,"For all general meetings, a quorum of two shareholders present in person or by proxy, and entitled to vote on the business transacted, is required unless each of the two persons present is a corporate representative of the same corporation; or each of the two persons present is a proxy of the same shareholder.",the two persons,267,31,34,0,
AstraZeneca_Annual_Report_2019.pdf,AstraZeneca,2019,"28 Employee costs and share plans for employees Employee costs The average number of people, to the nearest hundred, employed by the Group is set out in the table below. In accordance with the Companies Act 2006, this includes part-time employees.",average number of people,219,11,15,1,
Aviva_Annual_Report_2019.pdf,Aviva,2019,"The average number of employees during 2019 was 31,791 (2018: 31,232).",average number of employees,21,1,5,1,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"The first three City Class Type 26 frigates are on contract with construction underway on the first two ships. The programme currently employs over 2,000 people and approximately one half of the First of Class, HMS Glasgow, is under construction and she remains on track to enter service in the mid-2020s. Work continues on the second ship, HMS Cardiff, following the formal start of full-scale manufacture in August. Investment in site infrastructure in our Glasgow shipyards continues with dock readiness works progressing well and new office space to be completed in early 2020.","employs over 2,000 people",74,23,27,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"In June, the Committee undertook a review of diversity and inclusion activity in our US business, which, with approximately 30,000 employees, is a significant part of our total workforce. We were pleased to see that progress was being made in driving the required change in culture. Also, we heard about the tools being used to support our analysis of diversity data, relative to the external availability of jobs by location. We use this analysis to drive more focused actions at the work team level. In addition, we learnt about the introduction of Coaching Circles, which facilitate the convening of a diverse group of four to six leaders that are able to discuss different diversity and inclusion topics and provide support in navigating issues that may arise.","with approximately 30,000 employees",99,20,24,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"Pay comparisons Pay ratio of Chief Executive to global average employee The Committee is mindful of the relationship between Chief Executive remuneration and remuneration of the wider BAE Systems employee population. Therefore, in line with our commitment to transparency, the table below provides the ratio of remuneration of the Chief Executive to the average employee of the Group since 2014.",average employee,113,9,11,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,The ratio of remuneration of the Chief Executive to the average employee of the entire Group since 2014 was as follows:,average employee,113,10,12,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,<TABLE 55 CONTENTS(Chief Executive s remuneration ( 000)2 Average employee remuneration ( 000)3 Ratio) ENDTABLE>,Average employee,113,10,12,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"1. Chief Executive s remuneration in 2017 includes a combination of the remuneration of Ian King and Charles Woodburn. As Charles Woodburn s overall remuneration was lower than Ian King s, the calculation for 2017 results in a downward movement in the pay ratio. 2. The Chief Executive s remuneration is calculated on the same basis as the single total figure of remuneration table. 3. Average employee remuneration is based on staff costs calculated on the same basis as note 3 to the Group accounts, excluding social security costs and US healthcare costs. The 2018 figure excludes the Guaranteed Minimum Pension equalisation charge (see note 23 to the Group accounts).",Average employee,113,72,74,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"Recognising the global nature of our workforce, we believe the above pay ratio measured against the average employee of the entire Group is the most appropriate for BAE Systems. We will therefore continue to provide the pay ratio on this basis.",average employee,113,17,19,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"Pay ratio of Chief Executive to UK average employee As required by legislation, the table below provides the ratio of the Chief Executive to that of the median, 25th and 75th percentile total remuneration of full-time equivalent UK employees. We voluntarily disclosed the pay ratio on the required basis in 2018:",average employee,113,7,9,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"Relative importance of spend on pay The following charts set out underlying EBITA1, amounts paid in returns to shareholders, total employee costs and average headcount for the years ended 31 December 2018 and 2019.",total employee,115,21,23,0,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"Total employee costs2,3",Total employee,115,0,2,0,
